-16799965799409916/6410147287704333 -34070253242148783/9020476171641260 -152269460259616/40248997946905 397721589234184264/955893244673475 -76592445/262737076 262737076/76592445
17821314467805/12403532197372 12559920928199/971048052644 -107694897605/67788485996 -2212019211516/232637758759 880369948/1635141345 -1635141345/880369948
-30164515782941/11209576543622 -19069131735048/9538711680359 -14367717091170/3710134605991 -7103742595905/301588590767 -457645813/1155518505 1155518505/457645813
962650029006/878587419661 2267534011051/3576917087667 -7664543686274/26985940373399 207981120476/369235836347 881231113/732327889 -732327889/881231113
14871221948477/15834950893329 -37070353549175/16876799300019 11808191899245/1763509702313 10541425276396/3022886897213 -1144888359/1094871757 1094871757/1144888359
38591129625823/33986978919330 -2068029626863/19019049990164 9406009282496/7357138278447 2795363154385/7166898999243 1219482559/738537161 -738537161/1219482559
-5688816631183/2938935000560 -17682447166723/15408372912560 -11979881726999/6413143433440 1244965415553/1128838952440 -1013775440/1369598917 1369598917/1013775440
true false
false false
true false
false false
false false
true false
true false
true false
true false
false false
false false
false false
true false
true false
false false
true false
true false
false false
false false
false false
false false
false false
true false
false false
true false
false false
false false
true false
true false
false false
true false
false false
true false
true false
false false
false false
true false
true false
true false
false false
false false
false false
false false
false false
true false
true true
true false
true false
false false
true false
false false
true false
false false
false false
false false
false false
false false
false false
true false
false false
false false
true false
true false
false false
true false
true false
true false
false false
false false
false false
false false
false false
false false
true false
false false
true false
false false
true false
true false
false false
true false
true false
false false
false false
false false
false false
true false
false false
true false
true false
false false
true false
true false
false false
false false
true false
true false
true false
true false
true false
true false
true false
false false
true false
false false
false false
false false
true false
true false
true false
true false
false false
true false
true false
false false
true false
false false
false false
false true
true false
false false
false false
true false
false false
false false
false false
true false
true false
true false
true false
true false
true false
false false
false false
false false
true true
false false
true false
false false
false false
true false
true false
false false
true false
false false
true false
true false
true false
true false
false false
true false
true false
true false
false false
true false
true false
true false
false false
false false
false false
true false
true false
false false
false false
true false
false false
false false
false false
false false
true false
false false
false false
false false
true false
true false
false false
false false
true false
false false
false false
false false
true false
true false
false false
false false
true false
true false
true false
true false
true false
true false
false false
true false
false false
true false
true false
true false
true false
false false
false false
true false
true false
true false
true false
true false
false false
false false
true false
true false
false false
true false
false false
false false
true false
true false
false false
false false
true false
false false
false false
false false
false false
false false
true false
false false
false false
false false
false false
false false
true false
false false
false false
true false
